أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
أَمۡرُ                 ['ʔ', 'a', 'm', 'r', 'u']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَلَا                 ['f', 'a', 'l', 'a:']
تَسۡتَعۡجِلُوهُ‌ۚ           ['t', 'a', 's', 't', 'a', 'ʕ', 'ʒ', 'i', 'l', 'u:', 'h', 'u']
سُبۡحَـٰنَهُۥ             ['s', 'u', 'b', 'Q', 'ħ', 'a:', 'n', 'a', 'h', 'u:']
وَتَعَـٰلَىٰ              ['w', 'a', 't', 'a', 'ʕ', 'a:', 'l', 'a:']
عَمَّا                 ['ʕ', 'a', 'm̃', 'a:']
يُشۡرِكُونَ              ['j', 'u', 'ʃ', 'r', 'i', 'k', 'u:', 'n']

16:2
يُنَزِّلُ                ['j', 'u', 'n', 'a', 'z', 'z', 'i', 'l', 'u']
ٱلۡمَلَـٰٓئِكَةَ            ['l', 'm', 'a', 'l', 'a:', 'ʔ', 'i', 'k', 'a', 't', 'a']
بِٱلرُّوحِ              ['b', 'i', 'r', 'r', 'u:', 'ħ', 'i']
مِنۡ                  ['m', 'i', 'n']
أَمۡرِهِۦ               ['ʔ', 'a', 'm', 'r', 'i', 'h', 'i:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَن                  ['m', 'a']
يَشَآءُ                ['j̃', 'a', 'ʃ', 'a:', 'ʔ', 'u']
مِنۡ                  ['m', 'i', 'n']
عِبَادِهِۦٓ              ['ʕ', 'i', 'b', 'a:', 'd', 'i', 'h', 'i:']
أَنۡ                  ['ʔ', 'a', 'n']
أَنذِرُوٓاۡ              ['ʔ', 'a', 'ŋ', 'ð', 'i', 'r', 'u:']
أَنَّهُۥ                ['ʔ', 'a', 'ñ', 'a', 'h', 'u:']
لَآ                  ['l', 'a:']
إِلَـٰهَ                ['ʔ', 'i', 'l', 'a:', 'h', 'a']
إِلَّآ                 ['ʔ', 'i', 'l', 'l', 'a:']
أَنَاۡ                 ['ʔ', 'a', 'n', 'a']
فَٱتَّقُونِ              ['f', 'a', 't', 't', 'a', 'q', 'u:', 'n']

16:3
خَلَقَ                 ['x', 'a', 'l', 'a', 'q', 'a']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
