الٓمٓ                 ['l', 'm']

2
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
ٱلۡكِتَـٰبُ              ['l', 'k', 'i', 't', 'a:', 'b', 'u']
لَا                  ['l', 'a:']
رَيۡبَ‌ۛ                ['r', 'a', 'j', 'b', 'a']
فِيهِ‌ۛ                ['f', 'i:', 'h', 'i']
هُدًى                 ['h', 'u', 'd', 'a']
لِّلۡمُتَّقِينَ             ['l', 'l', 'i', 'l', 'm', 'u', 't', 't', 'a', 'q', 'i:', 'n']

3
ٱلَّذِينَ               ['l', 'a', 'ð', 'i:', 'n', 'a']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِٱلۡغَيۡبِ              ['b', 'i', 'l', 'ɣ', 'a', 'j', 'b', 'i']
وَيُقِيمُونَ             ['w', 'a', 'j', 'u', 'q', 'i:', 'm', 'u:', 'n', 'a']
ٱلصَّلَوٰةَ              ['sˤ', 'sˤ', 'a', 'l', 'a', 't', 'a']
وَمِمَّا                ['w', 'a', 'm', 'i', 'm̰', 'a:']
رَزَقۡنَـٰهُمۡ             ['r', 'a', 'z', 'a', 'q', 'Q', 'n', 'a:', 'h', 'u', 'm']
يُنفِقُونَ              ['j', 'u', 'Ikh1', 'f', 'i', 'q', 'u:', 'n']

4
وَٱلَّذِينَ              ['w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
يُؤۡمِنُونَ              ['j', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n', 'a']
بِمَآ                 ['b', 'i', 'm', 'a:']
أُنزِلَ                ['ʔ', 'u', 'Ikh1', 'z', 'i', 'l', 'a']
إِلَيۡكَ                ['ʔ', 'i', 'l', 'a', 'j', 'k', 'a']
وَمَآ                 ['w', 'a', 'm', 'a:']
أُنزِلَ                ['ʔ', 'u', 'Ikh1', 'z', 'i', 'l', 'a']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلِكَ                ['q', 'a', 'b', 'Q', 'l', 'i', 'k', 'a']
وَبِٱلۡأَخِرَةِ            ['w', 'a', 'b', 'i', 'l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
هُمۡ                  ['h', 'u', 'm']
يُوقِنُونَ              ['j', 'u:', 'q', 'i', 'n', 'u:', 'n']

5
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
هُدًى                 ['h', 'u', 'd', 'a']
مِّن                  ['m̰', 'i']
رَّبِّهِمۡ‌ۖ               ['r', 'r', 'a', 'b', 'b', 'i', 'h', 'i', 'm']
