قَدۡ                  ['q', 'a', 'd', 'QQ']
سَمِعَ                 ['s', 'a', 'm', 'i', 'ʕ', 'a']
ٱللَّهُ                ['ll', 'a', 'h', 'u']
قَوۡلَ                 ['q', 'a', 'w', 'l', 'a']
ٱلَّتِى                ['ll', 'a', 't', 'i:']
تُجَـٰدِلُكَ              ['t', 'u', 'ʒ', 'a:', 'd', 'i', 'l', 'u', 'k', 'a']
فِى                  ['f', 'i:']
زَوۡجِهَا               ['z', 'a', 'w', 'ʒ', 'i', 'h', 'a:']
وَتَشۡتَكِىٓ              ['w', 'a', 't', 'a', 'ʃ', 't', 'a', 'k', 'i:']
إِلَى                 ['ʔ', 'i', 'l', 'a']
ٱللَّهِ                ['ll', 'a', 'h', 'i']
وَٱللَّهُ               ['w', 'a', 'll', 'a', 'h', 'u']
يَسۡمَعُ                ['j', 'a', 's', 'm', 'a', 'ʕ', 'u']
تَحَاوُرَكُمَآ‌ۚ           ['t', 'a', 'ħ', 'a:', 'w', 'u', 'r', 'a', 'k', 'u', 'm', 'a:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['ll', 'a', 'h', 'a']
سَمِيعُۢ                ['s', 'a', 'm', 'i:', 'ʕ', 'u', 'm̃']
بَصِيرٌ                ['b', 'a', 'sˤ', 'i:', 'r']

58:2
ٱلَّذِينَ               ['ʔ', 'a', 'l', 'a', 'ð', 'i:', 'n', 'a']
يُظَـٰهِرُونَ             ['j', 'u', 'ðˤ', 'a:', 'h', 'i', 'r', 'u:', 'n', 'a']
مِنكُم                ['m', 'i', 'ŋ', 'k', 'u', 'm̃']
مِّن                  ['i']
نِّسَآئِهِم              ['ñ', 'i', 's', 'a:', 'ʔ', 'i', 'h', 'i', 'm̃']
مَّا                  ['a:']
هُنَّ                  ['h', 'u', 'ñ', 'a']
أُمَّهَـٰتِهِمۡ‌ۖ            ['ʔ', 'u', 'm̃', 'a', 'h', 'a:', 't', 'i', 'h', 'i', 'm']
إِنۡ                  ['ʔ', 'i', 'n']
أُمَّهَـٰتُهُمۡ             ['ʔ', 'u', 'm̃', 'a', 'h', 'a:', 't', 'u', 'h', 'u', 'm']
إِلَّا                 ['ʔ', 'i', 'll', 'a']
ٱلَّــٰٓــِٔى             ['ll', 'a:', 'ʔ', 'i:']
وَلَدۡنَهُمۡ‌ۚ             ['w', 'a', 'l', 'a', 'd', 'Q', 'n', 'a', 'h', 'u', 'm']
وَإِنَّهُمۡ               ['w', 'a', 'ʔ', 'i', 'ñ', 'a', 'h', 'u', 'm']
لَيَقُولُونَ             ['l', 'a', 'j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
مُنكَرًا               ['m', 'u', 'ŋ', 'k', 'a', 'r', 'a']
مِّنَ                  ['m̃', 'i', 'n', 'a']
ٱلۡقَوۡلِ               ['l', 'q', 'a', 'w', 'l', 'i']
